Posição,Sexo,Categoria,Posição na Categoria,Tempo Final,Tempo Bruto  ,Ritmo,Velocidade
1.,Masculino,10K-GM,1,0:33:11.52,0:33:15.88,3:19,
2.,Masculino,10K-GM,2,0:33:42.03,0:33:44.64,3:22,
3.,Masculino,10K-GM,3,0:34:37.18,0:34:39.69,3:28,
4.,Masculino,10K-GM,4,0:34:54.62,0:34:57.53,3:29,
5.,Masculino,10K-GM,5,0:35:29.89,0:35:34.04,3:33,
6.,Masculino,35-39,1,0:36:14.35,0:36:19.87,3:37,
7.,Masculino,25-34,1,0:36:33.71,0:36:36.93,3:40,
8.,Masculino,40-44,1,0:37:16.04,0:37:18.89,3:44,
9.,Masculino,25-34,2,0:37:34.52,0:37:39.31,3:46,
10.,Masculino,25-34,3,0:37:38.79,0:37:40.01,3:46,
11.,Masculino,35-39,2,0:38:11.51,0:38:13.94,3:49,
12.,Masculino,25-34,4,0:38:25.69,0:38:29.27,3:50,
13.,Masculino,25-34,5,0:38:39.22,0:38:41.83,3:52,
14.,Masculino,45-49,1,0:39:08.01,0:39:10.88,3:55,
15.,Masculino,50-54,1,0:39:14.19,0:39:17.42,3:55,
16.,Masculino,45-49,2,0:40:02.06,0:40:12.85,4:00,
17.,Masculino,40-44,2,0:40:15.34,0:41:40.37,4:02,
18.,Masculino,35-39,3,0:40:51.58,0:40:56.16,4:05,
19.,Feminino,10K-GF,1,0:41:05.38,0:41:09.04,4:07,
20.,Masculino,25-34,6,0:41:29.95,0:49:31.61,4:09,
21.,Masculino,25-34,7,0:41:34.30,0:41:48.96,4:10,
22.,Masculino,40-44,3,0:41:42.38,0:41:42.38,4:10,
23.,Masculino,40-44,4,0:41:51.14,0:42:09.87,4:11,
24.,Masculino,35-39,4,0:41:55.42,0:42:13.12,4:11,
25.,Masculino,35-39,5,0:42:02.83,0:42:12.04,4:12,
26.,Feminino,10K-GF,2,0:42:13.93,0:42:17.88,4:13,
27.,Masculino,60-64,1,0:42:15.70,0:45:06.01,4:13,
28.,Masculino,25-34,8,0:42:28.11,0:42:43.72,4:15,
29.,Masculino,45-49,3,0:42:41.44,0:42:53.83,4:16,
30.,Masculino,45-49,4,0:42:55.36,0:42:58.27,4:17,
31.,Masculino,40-44,5,0:42:56.42,0:44:20.65,4:17,
32.,Masculino,35-39,6,0:43:04.41,0:43:23.15,4:19,
33.,Masculino,35-39,7,0:43:38.67,0:43:45.06,4:22,
34.,Masculino,45-49,5,0:44:00.99,0:48:12.48,4:24,
35.,Masculino,55-59,1,0:44:07.21,0:44:10.78,4:25,
36.,Masculino,40-44,6,0:44:16.91,0:44:18.47,4:26,
37.,Masculino,25-34,9,0:44:46.09,0:44:54.08,4:29,
38.,Masculino,35-39,8,0:45:05.34,0:45:23.59,4:31,
39.,Masculino,40-44,7,0:45:12.39,0:48:27.53,4:31,
40.,Masculino,40-44,8,0:45:21.04,0:45:36.62,4:32,
41.,Masculino,25-34,10,0:45:22.74,0:45:47.21,4:32,
42.,Masculino,25-34,11,0:45:25.84,0:46:21.80,4:32,
43.,Masculino,25-34,12,0:45:35.28,0:52:46.39,4:34,
44.,Masculino,40-44,9,0:45:36.16,0:49:04.41,4:34,
45.,Masculino,45-49,6,0:45:38.05,0:45:57.50,4:34,
46.,Masculino,65-69,1,0:45:38.66,0:52:50.69,4:34,
47.,Masculino,35-39,9,0:45:48.63,0:45:57.39,4:35,
48.,Masculino,35-39,10,0:45:54.55,0:46:10.89,4:35,
49.,Masculino,50-54,2,0:45:57.13,0:46:34.73,4:36,
50.,Masculino,50-54,3,0:45:59.14,0:47:19.50,4:36,
