,ano,notaProva1,questoesFeitasProva1,quantidadeProva1,tituloProva1,notaProva2,questoesFeitasProva2,quantidadeProva2,tituloProva2,mediaProvas,situacao,qsub1,qsub2,qsub3,qsub4,qsub5,qsubp1,qsubp2,totalsub,igualACeml123,igualACeml45,qsemana1,qsemana2,qsemana3,qsemana4,qsemana5,qsemana6,qsemana7,qsemana8,submeteu1,submeteu2,submeteu3,submeteu4,submeteu5,submeteu6,submeteu7,submeteu8,madrugada,manha,tarde,noite,subListaLab23,subListaLab45,subListaLab67,subListaLab89,subListaLab1011,subListaExer23,subListaExer45,subListaExer67,subListaExer89,subListaExer1011,subDistintasLab23,subDistintasLab45,subDistintasLab67,subDistintasLab89,subDistintasLab1011,subDistintasExer23,subDistintasExer45,subDistintasExer67,subDistintasExer89,subDistintasExer1011,diferentesLabSemanas23,diferentesLabSemanas45,diferentesLabSemanas67,diferentesLabSemanas89,diferentesLabSemanas1011,diferentesExerSemanas23,diferentesExerSemanas45,diferentesExerSemanas67,diferentesExerSemanas89,diferentesExerSemanas1011
0,2017.2,24.0,3.0,5.0,Prova 1 - Turma 01 - 2017.2,61.0,4.0,6.0,Prova 2 - Turma 01 - 2017.2,42.5,0,18,15,13,27,7,46,34,80,29,32,0.0,0.0,18.0,0.0,9.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,32.0,17.0,0.0,8.0,4.0,2.0,0.0,0.0,10.0,5.0,18.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,2.0,4.0,15.0,0.0
1,2017.2,72.0,5.0,5.0,Prova 1 - Turma 01 - 2017.2,1.66667E+16,1.0,6.0,Prova 2 - Turma 01 - 2017.2,4.43333E+15,0,7,14,10,13,16,31,29,60,31,29,0.0,0.0,4.0,11.0,4.0,0.0,10.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,12.0,0.0,15.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,12.0,3.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,12.0,3.0,10.0,0.0
2,2017.2,36.0,4.0,5.0,Prova 1 - Turma 01 - 2017.2,0.0,0.0,0.0,0,18.0,0,1,5,3,4,6,9,10,19,9,10,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,6.0
3,2017.2,4.0,4.0,5.0,Prova 1 - Turma 01 - 2017.2,3.88333E+16,4.0,6.0,Prova 2 - Turma 01 - 2017.2,2.14167E+16,0,2,6,8,7,3,16,10,26,15,10,0.0,0.0,0.0,6.0,0.0,6.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,17.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,5.0,5.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,5.0,4.0,3.0,0.0
4,2017.2,16.0,5.0,5.0,Prova 1 - Turma 01 - 2017.2,7.76667E+15,6.0,6.0,Prova 2 - Turma 01 - 2017.2,4.68333E+15,0,1,12,7,7,11,20,18,38,18,18,0.0,0.0,0.0,6.0,0.0,6.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,15.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,5.0,5.0,7.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,5.0,4.0,7.0,0.0
5,2017.2,52.0,5.0,5.0,Prova 1 - Turma 01 - 2017.2,0.0,1.0,6.0,Prova 2 - Turma 01 - 2017.2,26.0,0,3,15,6,3,7,24,10,34,19,7,0.0,0.0,0.0,10.0,0.0,5.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,21.0,4.0,0.0,3.0,1.0,0.0,2.0,0.0,7.0,4.0,10.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,6.0,4.0,9.0,0.0
6,2017.2,76.0,5.0,5.0,Prova 1 - Turma 01 - 2017.2,0.0,0.0,0.0,0,38.0,0,2,8,7,5,5,17,10,27,16,10,0.0,0.0,0.0,5.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0,4.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0,4.0,5.0,1.0
7,2017.2,24.0,4.0,5.0,Prova 1 - Turma 01 - 2017.2,1.66667E+16,5.0,6.0,Prova 2 - Turma 01 - 2017.2,2.03333E+16,0,4,12,4,13,14,20,27,47,12,17,0.0,0.0,0.0,11.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,3.0,0.0,4.0,1.0,0.0,6.0,0.0,7.0,7.0,0.0,7.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,3.0,7.0,0.0,6.0
8,2017.2,32.0,4.0,5.0,Prova 1 - Turma 01 - 2017.2,7.76667E+15,6.0,6.0,Prova 2 - Turma 01 - 2017.2,5.48333E+15,1,1,6,8,21,10,15,31,46,13,16,0.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,4.0,4.0,0.0
9,2017.2,60.0,5.0,5.0,Prova 1 - Turma 01 - 2017.2,5.5,6.0,6.0,Prova 2 - Turma 01 - 2017.2,3275,0,6,20,7,6,4,33,10,43,29,10,0.0,0.0,0.0,10.0,4.0,5.0,17.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,5.0,0.0,21.0,10.0,0.0,5.0,3.0,0.0,1.0,0.0,5.0,6.0,15.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,5.0,5.0,15.0,0.0
