Cliente;Avaliacoes;Publicacao;Dispositivomovel;Avaliacao;Comentario;Visita
611larissap;1;9 de setembro de 2021;VERDADEIRO;Natal;Comida bem servida e deliciosa. Cardápio com muitas variedades. Ambiente agradável e atendimento espetacular. Bom preços. E ainda tem translado;setembro de 2021
714brunan;10;13 de novembro de 2021;FALSO;Vale muito a pena;"Simplesmente ótimo! O atendimento era espetacular, o atendente nos mostrou todo o restaurante, explicou sobre o cardápio e fez recomendações, o som ao vivo era de muita qualidade, pedimos uma pizza para duas pessoal (4 pedaços), valor muito em conta, chegou a mesa muito breve, era enorme, do tamanho de uma pizza convencional, massa levinha, com muito recheio, somente com ingredientes de muita qualidade! Se estiverem por Natal, não deixem de conhecer, ficamos encantados com tamanha excelência

Mostrar menos";novembro de 2021
93matheusa;6;31 de dezembro de 2020;VERDADEIRO;Boa comida, atendimento bom, atenção ao preço !;Ambiente agradável, pizza de ótima qualidade, música ao vivo de excelente gosto e atendimento eficaz. Devo dizer que achei o preço salgado, pizzas podem chegar a 80 reais dependendo do valor, mas diria que o preço médio da tamanho grande é por volta dos 60...Mais;janeiro de 2021
A9526BHandreaf;8;Publicada há 2 semanas;VERDADEIRO;Adoramos;Serviço rápido e os rapazes são muito atenciosos. Comida excelente e bem servida. Pedimos um camarão a grega e estava delicioso;janeiro de 2022
alinemariag2021;2;24 de janeiro de 2021;VERDADEIRO;Muito bom;Jantar maravilhoso com música ao vivo, ótimo atendimento e com translados dos hotéis... ótima opção de jantar!;janeiro de 2021
Alvarenga;32;17 de março de 2021;VERDADEIRO;Pizzaria linda e pizza maravilhosa;Super recomendo a pizzaria. Várias opções no cardápio. Opções de sabores bem regionais. Preço justo, pizza muito gostosa, lugar lindo e atendentes super educados.;fevereiro de 2021
AmaralBorgesCarla;7;22 de janeiro de 2021;FALSO;Conhecer Pizzaria;Ouvimos falar muito nessa pizzaria, resolvemos ir conhcer. Atendimento ótimo, vista maravilhosa. Pizza boa. Vale a pena conhecer.;janeiro de 2021
analF68OZ;8;5 de novembro de 2021;VERDADEIRO;Restaurante bar excelente.. mas o motorista do transporte cortesia deles .... mto sem noção;"O restaurante bar mto bom... comida boa música excelente...
Pela segunda vez resolvemos ir ao Paprika e utilizariamos o transporte cortesia deles ... esperamos eu e meu marido na portaria do hotel ... com atraso de meia hora da marcada ... chegou o motorista Naldo..... meu marido já estava estressado com a demora ... entramos no carro e meu marido perguntou pelo outro motorista q havíamos conhecido em outra ocasião... foi a gota d'água... Naldo respondeu ... fulano de tal não é dono do Paprika não... bem agressivo e incomodado...enfim desistimos ali e qdo saimos a porta do carro bateu com força .
Aí ele Naldo sai do carro e começa um bate boca com meu marido ... eu mandava ele ir embora e nada ...ele não ia embora ... e xingamentos ... ou seja ... deveria ter ido embora de imediato...mto desagradável e dispensável uma situação assim ....
Se quiserem ir ao Páprika vao por conta própria";novembro de 2021
aninha_almeidabsb;15;30 de maio de 2021;VERDADEIRO;Comida em boa quantidade;"Pedimos parmegiana que veio em ótima quantidade! O prato é para 2, mas serve de 3 a 4 tranquilamente.
Atendimento dos funcionários muito bom!
O único ponto a desejar foi que precisei pagar uma porção completa de arroz sendo que eu precisava apenas de uma colher de sopa, para minha filha de 1 aninho! Não pedi cortesia, pedi uma porção menor mas não conseguiram nos atender. Com isso infelizmente houve um desperdício de comida.";maio de 2021
Antonio_Milton_Alves;155;29 de junho de 2021;FALSO;Excelente pizzaria e restaurante;O atendimento muito simpatico dos garçons, pizza muito boa, ambiente super agradavel, com parte climatizada, deck e externa, fiquei na externa gostei muito;junho de 2021
Bialeone_;5;19 de dezembro de 2021;VERDADEIRO;Melhor pizzaria de Natal;Uma pizzaria perfeita. Ambiente maravilhoso de frente para o mar, fresco, música ao vivo todos os dias, atendimento impecável do começo ao fim. E ainda possui de forma gratuita transfer do hotel ao restaurante para os turistas. SIMPLESMENTE PERFEITO!;dezembro de 2021
biancaionashiro;5;28 de março de 2021;FALSO;Simplesmente maravilhoso!!!;"Comida excelente, valor justo, ambiente com uma ótima infraestrutura, fresco e arejado, com música boa e ao vivo. O serviço é incrível, tem transfer que leva e trás, sem contar que são bastante ágeis com a locomoção e atendimento.
O garçom Augusto se destacou com o seu atendimento impecável, pois nunca fui tão bem atendida na minha vida!!! Foi tão maravilhosa a minha experiência neste restaurante que voltei e frequentaria mais vezes!!! Parabéns para toda equipe. E destaco novamente o Augusto que foi sensacional e o diferencial.";dezembro de 2020
