Unid. 1,Unid. 2,Unid. 3,Resultado,Sit.,op_aritmetico,if,op_logico,while,vetor,dev_jogos,html,css,p5js,cpp,java,javascript,python,Você tem acesso regular a um ambiente computacional no qual possa programar durante a disciplina?,Quanto tempo você disponível para estudar para disciplina por semana? (Em horas) ,interesse_em_programacao,seu_ensino_medio
9.6,9.1,6.8,8.5,APR,1.0,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,15.0,10,Ensino médio convencional público
9.7,8.5,7.3,8.5,APR,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,20.0,8,Técnica pública
10.0,8.0,0.7,6.2,REC,3.0,3,3.0,3,3.0,1.0,3,3.0,0.0,3.0,3.0,3.0,3.0,Sim,40.0,9,Ensino médio convencional particular
0.2,0.0,0.0,0.1,REP,1.0,3,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,Sim,10.0,8,Ensino médio convencional particular
9.5,8.3,6.3,8.0,APR,3.0,3,3.0,3,1.0,0.0,1,0.0,0.0,3.0,0.0,1.0,0.0,Sim,10.0,10,Ensino médio convencional público
0.2,0.0,0.0,0.1,REP,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,Sim,10.0,6,Ensino médio convencional particular
9.6,9.8,8.6,9.3,APR,1.0,1,1.0,1,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,Sim,8.0,8,Técnica pública
0.7,0.0,0.0,0.2,REP,1.0,3,1.0,1,1.0,0.0,3,3.0,0.0,1.0,0.0,0.0,0.0,Sim,20.0,10,Ensino médio convencional particular
7.5,0.0,0.0,2.5,REP,3.0,3,3.0,1,1.0,0.0,0,0.0,0.0,3.0,0.0,0.0,0.0,Sim,25.0,8,Ensino médio convencional público
9.9,8.5,6.6,8.3,APR,0.0,0,0.0,0,0.0,3.0,1,0.0,0.0,1.0,1.0,1.0,0.0,Sim,8.0,7,Técnica pública
6.8,0.0,0.0,2.3,REP,3.0,0,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Não,2.0,8,Técnica pública
9.8,10.0,4.0,7.9,APR,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,0.0,Sim,6.0,7,Técnica pública
0.2,0.0,0.0,0.1,REP,3.0,3,3.0,3,1.0,3.0,3,0.0,0.0,0.0,3.0,3.0,0.0,Não,12.0,10,Técnica pública
1.3,0.0,0.0,0.4,REP,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,4.0,8,Ensino médio convencional público
0.2,0.0,0.0,0.1,REP,5.0,3,3.0,1,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,Sim,10.0,8,Ensino médio convencional particular
9.3,8.3,8.5,8.7,APR,3.0,3,3.0,3,3.0,3.0,1,1.0,0.0,1.0,3.0,0.0,3.0,Sim,20.0,8,Ensino médio convencional público
10.0,10.0,10.0,10.0,APR,3.0,3,1.0,1,1.0,0.0,0,0.0,1.0,0.0,1.0,3.0,0.0,Sim,10.0,8,Técnica particular
9.8,8.0,3.8,7.2,APR,0.0,0,0.0,0,3.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,Sim,24.0,10,Técnica particular
5.8,5.3,1.3,4.1,REC,3.0,3,3.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,Sim,15.0,9,Ensino médio convencional particular
9.6,7.3,3.5,6.8,APRN,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,20.0,10,Ensino médio convencional particular
9.6,6.9,8.5,8.3,APR,3.0,3,3.0,1,1.0,1.0,0,0.0,1.0,0.0,0.0,3.0,0.0,Sim,5.0,6,Ensino médio convencional particular
9.8,10.0,9.8,9.9,APR,1.0,1,1.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,Sim,3.0,7,Técnica particular
1.1,0.0,0.0,0.4,REP,1.0,1,1.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,Não,2.0,7,Técnica pública
0.4,0.0,0.0,0.1,REP,1.0,3,1.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,Sim,14.0,9,Ensino médio convencional público
10.0,10.0,8.8,9.6,APR,0.0,0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,Sim,3.0,8,Técnica particular
0.8,0.0,0.0,0.3,REP,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,3.0,8,Técnica pública
0.2,0.0,0.0,0.1,REP,1.0,1,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,Sim,20.0,7,Técnica pública
