ITEM	num	PERGUNTAS	RESPOSTAS
Adicional de acúmulo de função	1	Preciso pagar adicional de acúmulo de função se são atividades compatíveis com a da contratação do(a) empregado(a)?	O artigo 456 da CLT autoriza o empregador a exigir do empregado qualquer atividade lícita que não seja incompatível com a natureza do trabalho pactuado. Dessa forma, atividades muito próximas da função exercida pelo trabalhador, se lícitas, podem ser exigidas dele sem que seja necessário o pagamento de adicional do acúmulo de função. Por exemplo, em sede de julgamento do Recurso de Revista nº 935-54.2014.5.20.0006, o Tribunal Superior do Trabalho (TST) decidiu que as funções de operador de caixa, empacotador e repositor são compatíveis. Dessa forma, ao pedir para o operador de caixa repor ou empacotar mercadorias, não é devido adicional por acúmulo de função.
Adicional de acúmulo de função	2	Preciso pagar adicional de acúmulo de função se peço ao operador de caixa para repor ou empacotar mercadorias?	
Adicional de acúmulo de função	3	Posso pedir para o empregado fazer outras atividades além do que ele foi contratado? 	
Carta de recomendação	4	Qual a diferença entre carta de recomendação de carta de referência?	Primeiramente, frisamos que há pequenas diferenças entre a carta de recomendação e a carta de referência: a carta de recomendação é normalmente elaborada por quem trabalhou com o empregado recomendado e dispõe de um depoimento pessoal positivo sobre ele, enaltecendo suas qualidades profissionais. Já a carta de referência é um documento formal em que constará o nome do empregado, o número da carteira de trabalho, o cargo exercido, data da entrada e saída, dentre outras informações referentes ao contrato de trabalho. Em síntese, a diferença entre as duas é que a carta de referência diz que o empregado não fez nada de ruim e a carta de recomendação enfatiza “como ele é bom”. Em nenhuma delas é permitido falar mal do empregado, sob pena de ficar caracterizado o dano moral. Não há, na legislação trabalhista vigente, uma norma que obrigue as empresas a fornecerem a carta de referência, tampouco a carta de recomendação. Porém, se houver expressa previsão na convenção ou no acordo coletivo, elas devem ser fornecidas
Contratação de aprendiz na função de motorista de carga	5	Se contratar motorista de carga sem qualificação específica ele entra na base de cálculo para fixação da cota?	Em sede de julgamento do Recurso de Revista nº 1000360-13.2018.5.02.0031, o Tribunal Superior do Trabalho (TST) decidiu que a função de motorista demanda formação profissional e, por isso, deve ser incluída na base de cálculo para a fixação da cota de aprendizes a serem contratados pelas empresas.
Contratação de aprendiz na função de motorista de carga	6	Para ser considerado motorista de carga precisa ter uma formação profissional?	
Contratação por prazo determinado	7	Posso contratar por um tempo determinado?	Tem-se a possibilidade de contratar um funcionário por certo tempo determinado, podendo-se citar duas formas regularizadas legalmente, sendo necessário observar qual se encaixaria melhor na situação desejada, estas são: contrato de trabalho por tempo determinado – propriamente dito - e trabalho temporário. O contrato de trabalho por tempo determinado aquele em que o seu termo final pode ser estabelecido com base cronológica (ex.: número de dias, de meses, ou até tal dia), serviço específico, ou realização de certo acontecimento suscetível de previsão aproximada (ex.: término das festas natalinas). Nos contratos que tenham termo estipulado, o empregador que, sem justa causa, despedir o empregado, será obrigado a pagar-lhe, a título de indenização, e por metade, a remuneração a que teria direito até o termo do contrato (art. 479 da CLT).  A diferença desse tipo de contratação para o contrato por prazo indeterminado está na ausência do direito ao aviso prévio, seguro desemprego e a multa de 40% sobre o saldo do FGTS. Havendo termo estipulado, o empregado não se poderá desligar do contrato, sem justa causa, sob pena de ser obrigado a indenizar o empregador dos prejuízos que desse fato lhe resultarem. A indenização, porém, não poderá exceder àquela que teria direito o empregado em idênticas condições (art. 480 da CLT). O contrato por prazo determinado deve ser anotado na CTPS do trabalhador e, além das anotações de rotina, deve constar nas “anotações gerais” a data de início e térmico, bem como eventuais prorrogações. O prazo estipulado para o referido contrato não pode ser superior a 2 (dois) anos. Além das hipóteses acima destacadas, leis específicas podem criar outras modalidades de prestação de serviços a termo, como é o caso do trabalho temporário. Nesse sentido, o trabalho temporário é aquele prestado por pessoa física contratada por uma empresa de trabalho temporário que a coloca à disposição de uma empresa tomadora de serviços, para atender à necessidade de substituição transitória de pessoal permanente ou à demanda complementar de serviços. Há, portanto, uma relação triangular formada pela empresa prestadora, empresa tomadora e pelo trabalhador. Essa espécie de contratação é regida pela Lei 6019/74, a qual dispõe que qualquer que seja o ramo da empresa tomadora de serviços, não existe vínculo de emprego entre ela e os trabalhadores contratados pelas empresas de trabalho temporário. Porém, a empresa contratante é subsidiariamente responsável pelas obrigações trabalhistas referentes ao período em que ocorrer a prestação de serviços. 
Contratação por prazo determinado	8	Posso contratar um funcionário por um tempo certo para o término do contrato?	
Contratação por prazo determinado	9	Posso contratar alguém só por um certo período?	
Contratação por prazo determinado	10	Quais as modalidades de contrato de funcionário por tempo determinado?	
Contratação por prazo determinado	11	Quais as diferenças de um contrato de trabalho por tempo determinado para um de tempo indeterminado?	
Contratação por prazo determinado	12	Como funciona o contrato de trabalho por tempo determinado?	
Contratação por prazo determinado	13	Como funciona o contrato de trabalho temporário?	
Contrato de safra	14	O que é o contrato de safra?	 O contrato de safra, regido pela Lei 5.889/73 e pelo Decreto 73.626/74, é aquele que tem sua duração dependente de variações estacionais das atividades agrárias, assim entendidas as tarefas normalmente executadas no período compreendido entre o preparo do solo para o cultivo e a colheita. O referido contrato encontra-se em consonância com as características básicas dos contratos a termo da CLT. Desse modo, é um pacto cuja vigência depende da realização de certo acontecimento suscetível de previsão aproximada, isto é, um contrato por prazo determinado. Sendo assim, a recomendação é que o termo final seja pactuado de forma expressa entre o empregador e o empregado. Além disso, tem-se a possibilidade de contrato por pequeno prazo (máximo de 2 meses por ano), desde que o empregador seja produtor rural pessoa física, de acordo com o artigo 14 da Lei 5.889/73. Importante é também estar atento ao intervalo entre uma contratação e outra (recontratação sucessiva), não podendo ser inferior a 60 dias, sob pena de se presumir fraudulento o contrato. Se o funcionário exercer atividades que vão além da safra, o contrato poderá ser considerado por prazo indeterminado, segundo entendimento do TST em sede de julgamento do Agravo de Instrumento em Recurso de Revista 11085-66.2015.5.15.0049. Segundo a legislação, encerrado normalmente o contrato de safra, o empregador pagará ao safreiro, a título de indenização do tempo de serviço, o correspondente a 8,3% do salário mensal por mês de serviço ou por fração superior a 14 dias.
Contrato de safra	15	Tem um tipo de contrato para o trabalho na agricultura levando em consideração a safra?	
Contrato de safra	16	Tem um tipo de contrato para o trabalho rural agricultura levando em consideração a safra?	
Contrato de safra	17	Minha empresa lida com agricultura, qual contrato seria o mais indicado para contratar trabalhadores nos períodos de safra? 	
Contrato de safra	18	No contrato de safra, qual é o intervalo entre uma contratação e outra?	
Contrato de safra	19	No contrato de safra, qual é o intervalo de tempo necessário para a recontratação sucessiva?	
Contrato de safra	20	No contrato de safra, o que acontece se o funcionário exercer atividades que vão além da safra?	
Contrato de safra	21	No contrato de safra pode contratar por pequeno prazo? Quais os limites?	
Contrato de safra	22	No contrato de safra há obrigatoriedade do pagamento de alguma verba indenizatória se houver o encerramento do contrato?	
