Local,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brasil,3885847000,4376382000,4814760000,5331618957,5778952780,5995787000,6269328000,6585479000,7004141000,7389131000
Norte,207093645,241027920,259100991,292442290,308076997,320688313,337302084,367956432,387535316,420424257
Nordeste,522769315,583412756,653067255,724523790,805099103,848579383,898361847,953428747,1004827440,1047765997
Sudeste,2180987792,2455541523,2693051827,2948743736,3174690665,3238738052,3333233480,3482142785,3721316871,3917484197
Sul,620180426,696247007,765001872,880286120,948453986,1008035065,1067358361,1122038154,1195550451,1272105071
Centro-Oeste,354815823,400152794,444538054,485623020,542632030,579746186,633072229,659912882,694910923,731351478
Rondônia,23907887,27574714,30112720,31121413,34030982,36563333,39460359,43516147,44913978,47091336
Acre,8342356,8949434,10137925,11473930,13458698,13622802,13754240,14272941,15331123,15630017
Amazonas,60877123,70734401,72242701,83051233,86668644,86568184,89039782,93240191,100109235,108181091
Roraima,6639150,7303719,7711467,9010725,9744122,10242905,11013237,12104709,13369988,14292227
Pará,82684518,98710736,107080881,121224847,124584945,130899505,138107514,155232404,161349602,178376984
Amapá,8237795,9409228,11130868,12763486,13400284,13861293,14342135,15481908,16795207,17496661
Tocantins,16404816,18345688,20684430,23796656,26189323,28930291,31584816,34108132,35666183,39355941
Maranhão,46309633,52143535,60490109,67694845,76842028,78475994,85310038,89542757,98179496,97339938
Piauí,22269149,25941362,28637685,31283593,37723497,39149686,41416937,45365541,50378418,52780785
Ceará,79336299,89695828,96973753,109036556,126054472,130629849,138422521,147921534,155903825,163575327
Rio Grande do Norte,36184502,40992925,46412208,51518457,54022584,57250867,59677389,64305995,66969562,71336780
Paraíba,33522492,37109137,42488349,46377299,52936483,56141890,59104781,62396776,64373595,67986074
Pernambuco,97189760,110161559,127989043,141150252,155142648,156963668,167345031,181609501,186351975,197853378
Alagoas,27133038,31657321,34650397,37282529,40974994,46367211,49468741,52851067,54413047,58963729
Sergipe,26404893,29108272,32853181,35335986,37472432,38556530,38877438,40711486,42017981,44689483
Bahia,154419547,166602817,182572530,204844274,223929966,245043690,258738970,268724090,286239541,293240504
Minas Gerais,351123418,400124687,442282830,488004903,516633984,519331213,544810468,576375545,614875820,651872684
Espírito Santo,85310285,105976222,116850581,117274347,128783781,120365980,109264423,113399937,137020055,137345595
Rio de Janeiro,449858101,512767905,574884973,628226069,671076844,659138952,640401206,671605668,758859047,779927917
São Paulo,1294695988,1436672709,1559033444,1715238417,1858196055,1939901907,2038757382,2120761635,2210561949,2348338000
Paraná,225205255,257122269,285620202,333481152,348084191,376962822,401814164,421497870,440029403,466377036
Santa Catarina,153726007,174068322,191794652,214512242,242553371,249079642,256754669,277270237,298227090,323263857
Rio Grande do Sul,241249164,265056416,287587019,332292726,357816424,381992601,408789528,423270047,457293958,482464177
Mato Grosso do Sul,47270656,55133162,62013201,69203201,78950133,83082555,91892285,96396434,106969142,106943246
Mato Grosso,56600955,69153957,79665691,89212919,101234520,107418319,123880296,126845898,137442853,142122028
Goiás,106770109,121296721,138757825,151300175,165015318,173632450,181759604,191948301,195681724,208672492
Distrito Federal,144174102,154568954,164101336,175906726,197432059,215612863,235540045,244722249,254817205,273613711
