student_id,age,region,enroll_date,exam_season,courses_enrolled,completed_assignments,completion_rate,login_frequency,last_activity_days_ago,forum_posts_count,dropout_score,label,label_multiclass,label_name
STU00001,26,Alexandria,2024-01-13,0,3,5,0.3571,5.29,10,5,0.1064,0,0,active
STU00002,23,Amman,2024-05-05,0,6,0,0.0,0.84,7,0,0.6627,1,2,dropped
STU00003,17,Dubai,2024-03-12,0,3,1,0.0435,1.79,36,0,0.7299,1,2,dropped
STU00004,23,Alexandria,2024-12-12,0,6,13,0.4396,0.78,9,0,0.5315,1,1,at-risk
STU00005,20,Baghdad,2024-02-14,0,5,5,0.2078,0.92,11,0,0.7904,1,2,dropped
STU00006,25,Doha,2024-08-04,0,3,11,0.7234,8.4,7,8,0.0,0,0,active
STU00007,25,Cairo,2024-01-16,0,7,5,0.1551,0.32,1,0,0.6193,1,2,dropped
STU00008,17,Alexandria,2024-04-21,1,2,3,0.2634,2.72,1,3,0.6569,1,2,dropped
STU00009,17,Dubai,2024-09-15,0,7,8,0.2171,5.91,4,7,0.3358,1,1,at-risk
STU00010,21,Doha,2024-01-14,0,5,11,0.4524,4.58,5,7,0.1237,0,0,active
STU00011,24,Baghdad,2024-04-11,0,4,3,0.1623,2.9,28,4,0.6798,1,2,dropped
STU00012,28,Baghdad,2024-08-02,0,4,15,0.7388,9.29,7,8,0.0927,0,0,active
STU00013,20,Dubai,2024-08-17,0,1,1,0.2116,3.65,4,0,0.2804,0,0,active
STU00014,21,Doha,2024-05-22,0,3,1,0.0757,1.89,7,2,0.4269,1,1,at-risk
STU00015,19,Cairo,2024-03-22,0,1,1,0.2842,1.03,11,0,0.6393,1,2,dropped
STU00016,26,Tunis,2024-06-23,0,1,0,0.0682,1.09,4,0,0.7276,1,2,dropped
STU00017,31,Amman,2024-03-20,0,5,8,0.3277,2.35,13,4,0.3622,1,1,at-risk
STU00018,17,Dubai,2024-06-21,0,6,6,0.204,1.78,11,1,0.5435,1,1,at-risk
STU00019,21,Alexandria,2024-02-17,0,4,3,0.1358,0.1,10,1,0.6929,1,2,dropped
STU00020,19,Tunis,2024-02-19,0,7,22,0.6318,9.66,10,16,0.0,0,0,active
STU00021,25,Beirut,2024-06-25,0,4,5,0.2718,1.06,3,4,0.7153,1,2,dropped
STU00022,26,Doha,2024-05-15,0,4,13,0.6376,7.63,1,4,0.0974,0,0,active
STU00023,24,Cairo,2024-08-23,0,6,0,0.0,2.08,6,2,0.413,1,1,at-risk
STU00024,18,Baghdad,2024-03-04,0,7,13,0.382,4.47,10,8,0.0,0,0,active
STU00025,28,Tunis,2024-02-10,0,4,8,0.3799,4.49,1,2,0.0821,0,0,active
STU00026,27,Baghdad,2024-05-30,0,1,4,0.8559,10.71,2,6,0.0,0,0,active
STU00027,23,Doha,2024-07-04,0,2,0,0.0,2.85,46,4,0.6547,1,2,dropped
STU00028,18,Doha,2024-04-08,0,2,2,0.1646,1.36,2,1,0.8423,1,2,dropped
STU00029,20,Alexandria,2024-01-24,0,7,7,0.2036,2.44,1,6,0.4112,1,1,at-risk
STU00030,24,Dubai,2024-05-28,0,1,0,0.0,0.59,3,0,0.7477,1,2,dropped
STU00031,17,Alexandria,2024-04-29,1,5,4,0.1432,1.11,5,3,0.7888,1,2,dropped
STU00032,26,Alexandria,2024-07-13,0,5,17,0.6767,12.22,2,18,0.0,0,0,active
STU00033,23,Amman,2024-08-20,0,4,0,0.0124,1.84,2,1,0.5912,1,1,at-risk
STU00034,26,Beirut,2024-03-24,0,5,10,0.4005,1.15,4,1,0.5326,1,1,at-risk
STU00035,22,Beirut,2024-06-30,0,2,6,0.6408,5.04,1,7,0.0001,0,0,active
STU00036,27,Dubai,2024-12-09,0,5,9,0.373,4.03,10,10,0.1119,0,0,active
STU00037,20,Amman,2024-12-25,0,4,0,0.0,0.37,1,0,0.6611,1,2,dropped
STU00038,25,Alexandria,2024-11-07,0,5,9,0.3724,6.52,26,13,0.1716,0,0,active
STU00039,22,Riyadh,2024-09-30,0,5,13,0.5012,4.71,1,5,0.0671,0,0,active
