,anoSubmissao,semana 1,semana 2,semana 3,semana 4,semana 5,semana 6,semana 7,semana 8,semana 9,semana 10,semana 11,semana 12,semana 13,semana 14,semana 15,semana 16,semana 17,semana 18,semana 19,semana 20,semana 21,anoTurma,descricaoTurma,situacao,anoSigaa,turma
0,2017.2,0.0,0.0,0.0,5.0,14.0,5.0,0.0,15.0,10.0,0.0,0.0,16.0,3.0,0.0,0.0,20.0,0.0,9.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01A,APROVADO,2017.2,01A
1,2017.2,0.0,0.0,0.0,5.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01B,APROVADO POR NOTA,2017.2,01B
2,2017.2,0.0,0.0,0.0,5.0,0.0,5.0,0.0,14.0,2.0,0.0,0.0,4.0,0.0,5.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01B,APROVADO,2017.2,01B
3,2017.2,0.0,0.0,0.0,3.0,0.0,6.0,0.0,8.0,3.0,0.0,0.0,5.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01B,APROVADO,2017.2,01B
4,2017.2,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01B,APROVADO POR NOTA,2017.2,01B
5,2017.2,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01B,REPROVADO,2017.2,01B
6,2017.2,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01B,APROVADO,2017.2,01B
7,2017.2,0.0,0.0,0.0,5.0,0.0,31.0,2.0,19.0,6.0,0.0,0.0,5.0,0.0,6.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01D,APROVADO POR NOTA,2017.2,01D
8,2017.2,0.0,0.0,0.0,6.0,0.0,7.0,0.0,7.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01B,APROVADO POR NOTA,2017.2,01B
9,2017.2,0.0,0.0,0.0,6.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01B,APROVADO,2017.2,01B
10,2017.2,0.0,0.0,0.0,6.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01B,REPROVADO,2017.2,01B
11,2017.2,0.0,0.0,0.0,6.0,0.0,0.0,6.0,8.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01B,APROVADO,2017.2,01B
12,2017.2,0.0,0.0,0.0,4.0,6.0,12.0,7.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01B,APROVADO,2017.2,01B
13,2017.2,0.0,0.0,0.0,10.0,0.0,5.0,0.0,35.0,0.0,0.0,0.0,3.0,0.0,0.0,22.0,5.0,3.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01A,APROVADO POR NOTA,2017.2,01A
14,2017.2,0.0,0.0,0.0,3.0,0.0,10.0,0.0,16.0,4.0,0.0,0.0,5.0,0.0,5.0,10.0,2.0,5.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01B,APROVADO,2017.2,01B
15,2017.2,0.0,0.0,0.0,5.0,0.0,16.0,2.0,11.0,0.0,12.0,15.0,4.0,10.0,12.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01B,APROVADO POR NOTA,2017.2,01B
16,2017.2,0.0,0.0,0.0,5.0,0.0,6.0,0.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01B,APROVADO,2017.2,01B
17,2017.2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01B,APROVADO POR NOTA,2017.2,01B
18,2017.2,0.0,0.0,0.0,5.0,0.0,5.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,4.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01B,APROVADO,2017.2,01B
19,2017.2,0.0,0.0,0.0,6.0,0.0,9.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01D,APROVADO POR NOTA,2017.2,01D
20,2017.2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01A,APROVADO POR NOTA,2017.2,01A
21,2017.2,0.0,0.0,0.0,5.0,6.0,0.0,12.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01A,APROVADO,2017.2,01A
22,2017.2,0.0,0.0,0.0,5.0,18.0,16.0,4.0,11.0,0.0,0.0,4.0,20.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01B,APROVADO,2017.2,01B
23,2017.2,0.0,0.0,0.0,9.0,0.0,20.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01B,APROVADO POR NOTA,2017.2,01B
24,2017.2,0.0,0.0,0.0,3.0,0.0,15.0,0.0,17.0,2.0,5.0,4.0,5.0,4.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01B,APROVADO,2017.2,01B
25,2017.2,0.0,0.0,0.0,3.0,0.0,5.0,0.0,7.0,8.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.2,LÓGICA DE PROGRAMAÇÃO - Turma 01B,APROVADO,2017.2,01B
