Data,Irra méida,Irra std,Temp Média,Temp std,Vento médio,Vento std,Potência Gerada
1/1/2019,537.14,295.95,29.26,0.83,5.75,0.43,18.40
1/2/2019,498.32,265.83,29.15,0.54,5.95,0.57,14.80
1/3/2019,482.91,249.87,28.91,0.95,6.09,0.97,17.10
1/4/2019,387.74,208.26,28.53,1.18,4.96,1.30,14.80
1/5/2019,453.56,228.52,29.28,0.88,5.39,0.61,12.80
1/6/2019,346.88,226.76,27.74,1.79,4.29,1.21,12.20
1/7/2019,416.98,275.82,28.38,1.20,4.66,1.11,10.70
1/8/2019,218.11,110.85,27.53,0.78,3.55,0.80,8.90
1/9/2019,460.15,239.60,28.94,0.91,5.59,0.57,17.00
1/10/2019,519.60,242.30,29.15,0.84,5.66,0.57,17.10
1/11/2019,546.89,261.89,29.15,1.20,5.42,0.86,17.90
1/12/2019,458.67,285.42,29.29,1.75,5.53,1.94,15.50
1/13/2019,428.30,217.31,28.35,1.10,4.40,0.82,15.10
1/14/2019,341.41,200.69,27.49,1.05,4.03,1.00,10.00
1/15/2019,524.49,260.22,28.82,1.23,5.46,1.21,18.10
1/16/2019,506.36,246.49,28.75,0.97,4.53,0.73,17.80
1/17/2019,458.40,195.95,28.78,1.07,4.44,1.02,16.90
1/19/2019,490.48,254.12,29.09,1.12,4.17,0.92,18.30
1/20/2019,465.53,249.19,29.29,0.94,4.30,0.71,14.90
1/21/2019,491.07,235.52,29.40,0.67,5.97,0.57,13.60
1/22/2019,538.39,265.94,29.01,1.23,4.78,0.97,18.60
1/23/2019,523.08,260.40,29.35,0.66,4.58,0.70,18.60
1/24/2019,456.77,264.57,29.02,1.22,5.02,0.85,17.90
1/25/2019,535.84,261.06,29.67,0.75,4.87,0.63,19.60
1/26/2019,408.45,305.72,28.22,1.82,3.61,1.12,10.40
1/27/2019,466.82,281.92,28.58,1.37,4.95,1.27,16.20
1/28/2019,550.19,259.04,29.24,1.17,4.25,1.20,18.30
1/29/2019,500.76,285.41,29.13,1.44,5.57,1.16,15.30
1/30/2019,513.64,269.58,29.32,1.31,5.35,0.79,17.30
