a20,a40,a60,a80,a100,a120,a140,a160,comando
51,51,51,26,51,26,18,51,d
51,51,51,51,51,14,16,51,d
51,51,35,51,51,51,21,51,d
51,51,51,51,51,51,23,51,d
51,51,51,51,51,24,21,37,d
51,51,51,51,51,23,23,51,d
51,51,51,51,51,23,24,51,d
51,51,51,51,51,27,51,51,d
51,51,51,51,51,30,51,51,d
51,51,51,51,51,31,30,51,d
51,51,51,51,51,51,28,51,d
51,51,51,51,51,51,28,28,d
51,51,51,51,51,51,26,51,d
51,51,51,51,51,31,35,51,d
51,51,51,51,30,36,35,51,d
51,51,51,33,51,37,36,51,d
51,51,32,51,51,40,39,51,d
51,51,51,51,51,51,33,51,d
51,51,51,51,51,28,51,51,d
51,51,51,51,29,51,51,51,d
51,51,51,51,51,51,39,36,d
51,51,51,29,51,51,39,38,d
51,51,29,51,51,51,39,40,d
51,27,51,51,51,51,39,51,d
51,51,51,51,51,51,34,40,d
51,51,51,51,51,27,51,51,d
51,51,51,28,51,51,51,51,d
51,51,26,51,51,51,37,51,d
51,36,51,51,51,51,38,35,d
51,51,51,51,51,39,26,51,d
51,51,51,51,51,28,38,51,d
51,51,51,51,38,51,51,51,d
51,51,51,51,51,51,51,51,d
51,51,51,51,51,51,51,51,d
51,51,51,51,51,34,51,51,d
51,51,51,51,28,51,51,51,d
51,51,51,27,51,51,51,51,d
51,51,22,51,51,51,51,51,d
51,51,51,51,51,51,31,51,d
51,51,51,51,51,26,51,51,d
51,51,51,51,27,51,51,51,d
51,51,51,25,51,51,51,51,d
51,51,26,51,51,51,51,51,d
51,27,51,51,51,51,51,51,d
51,51,51,51,51,51,25,51,d
51,51,51,51,51,25,51,51,d
51,51,51,51,26,51,51,51,d
23,21,51,51,51,51,51,51,e
16,16,51,51,51,51,51,51,e
19,20,21,51,51,51,51,51,e
18,17,16,51,51,51,51,51,e
51,16,51,51,51,51,51,51,e
51,51,21,51,51,51,51,51,e
51,51,26,28,51,51,27,51,e
51,51,32,34,51,26,51,51,e
51,36,34,51,31,51,51,51,e
51,51,36,29,51,51,51,51,e
51,51,24,51,51,51,51,51,e
51,27,51,51,51,51,51,51,e
26,51,51,51,51,51,51,51,e
51,51,51,27,51,51,51,51,e
51,51,26,51,51,51,51,51,e
51,25,51,51,51,51,51,51,e
51,51,51,26,51,51,51,51,e
51,51,51,28,51,51,51,51,e
51,51,24,51,51,51,51,51,e
51,25,51,51,51,51,51,51,e
51,39,37,25,51,51,51,51,e
51,51,26,51,51,51,51,51,e
51,25,51,51,51,51,51,51,e
34,51,39,51,51,51,37,51,e
51,51,51,26,51,51,51,51,e
51,51,24,51,51,51,51,51,e
51,31,51,51,51,51,51,39,e
51,51,21,51,51,51,51,51,e
51,26,51,51,51,51,51,51,e
34,51,51,51,51,51,34,51,e
36,35,24,51,51,51,51,51,e
29,27,31,51,51,51,51,51,e
28,28,27,51,51,51,51,34,e
51,27,24,51,51,51,51,51,e
51,51,51,51,51,31,51,51,e
51,51,51,51,51,51,51,51,f
51,51,51,51,51,51,51,51,f
51,51,51,51,51,51,51,51,f
51,51,51,14,12,12,51,51,f
51,51,51,10,10,13,22,51,f
51,51,51,12,12,16,39,51,f
51,51,51,15,13,16,51,51,f
51,51,51,18,16,18,51,51,f
51,51,51,20,18,20,34,51,f
51,51,51,51,20,51,51,51,f
51,51,51,51,20,51,51,51,f
51,51,51,21,20,22,51,51,f
51,51,51,20,20,23,51,51,f
51,51,51,22,21,23,51,51,f
51,51,51,51,24,25,51,51,f
51,51,51,51,25,51,51,51,f
51,51,51,51,27,51,51,33,f
51,51,51,51,27,30,40,51,f
51,51,51,51,27,36,51,51,f
51,51,51,51,27,31,51,51,f
51,51,51,29,30,51,51,51,f
51,51,34,51,30,51,51,51,f
51,35,51,51,30,51,51,51,f
51,51,51,51,31,51,51,51,f
51,51,51,51,31,34,51,51,f
51,51,51,32,31,36,51,51,f
51,51,51,33,33,36,51,51,f
51,51,51,51,36,51,51,51,f
51,33,51,51,37,51,51,51,f
51,51,51,51,40,33,51,51,f
51,51,51,39,28,37,51,51,f
51,51,51,28,38,38,51,51,f
51,51,28,51,37,38,51,51,f
51,27,51,40,39,40,51,51,f
29,51,51,40,38,51,51,51,f
51,51,51,39,39,33,51,51,f
51,51,51,51,28,51,51,51,f
51,51,51,28,51,51,51,51,f
51,51,51,51,27,51,51,51,f
51,51,51,23,51,51,51,51,f
51,51,26,51,51,51,51,51,f
51,26,51,51,51,51,51,51,f
33,51,51,51,51,51,34,51,f
51,51,51,51,51,27,51,51,f
51,51,51,51,27,51,51,51,f
51,51,51,27,39,51,51,51,f
51,51,24,51,51,51,51,51,f
51,51,51,51,51,51,27,51,f
51,51,51,51,51,26,51,51,f
51,51,51,51,28,51,51,51,f
51,51,51,26,51,51,51,51,f
51,51,51,51,51,51,51,51,f
51,51,51,51,51,51,51,51,f

